id;identifier;tb_controller_id;tb_display_id;camera_id;x_1;y_1;x_2;y_2
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;2058;5641;96990;72199
2;Implementation Electronics Officer;methodology Albania;Home Namibia;Steel zero administration;36636;23277;45606;9060
3;Savings Account syndicate Planner;Refined Rubber Chicken Table;Automotive;Planner cross-platform access;9767;23089;68423;24102
4;Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;Mayotte;18485;3131;96958;84228
5;Views e-enable Communications;National Awesome sky blue;Tactics;scale interactive generating;35675;96525;28093;60703
6;bifurcated scalable;Small;deliverables reinvent 24 hour;overriding;70685;71134;72900;79017
7;Checking Account Identity deposit;IB Investment Account archive;envisioneer;moratorium pixel withdrawal;88721;56124;47221;38292
8;Developer;synthesize Idaho compress;Sleek Metal Table Small;Intelligent Outdoors;63641;47537;31435;56327
9;European Unit of Account 9(E.U.A.-9) Concrete;relationships override;Brand;neutral Salad;92969;62435;80812;29563
10;Refined Squares;maroon;EXE projection Fresh;support Gorgeous;22793;64769;42710;52
